2018-01,Mac=00:06:7a:05:79:ae,tx=2702936467,rx=249887362
2018-01,Mac=00:06:7a:20:26:c9,tx=939381,rx=14632108
2018-01,Mac=00:06:7A:40:02:BD,tx=976115295661,rx=32096905391
2018-01,Mac=00:06:7a:05:79:ae,tx=2702936467,rx=249887362
2018-01,Mac=00:06:7a:05:79:9f,tx=2520277768,rx=134108019
2018-01,Mac=00:06:7a:05:79:7e,tx=2526835271,rx=92323263
2018-01,Mac=00:06:7a:05:79:c0,tx=378530582,rx=8615741895
2018-01,Mac=00:06:7A:40:04:D8,tx=5061786921,rx=125323569344
2018-01,Mac=00:06:7a:05:79:b1,tx=1919443366,rx=185902217
2018-01,Mac=00:06:7A:40:04:DD,tx=181786776,rx=3123710003
2018-01,Mac=00:06:7A:40:02:C7,tx=635236976580,rx=18584160543
2018-01,Mac=00:06:7A:05:04:91,tx=718822794,rx=7506370557
